naca,re,aoa,cl,cd,cm
0006,2000000.0,9.0,0.7835180759429932,0.0764504522085189,-0.0110242944210767
0006,2000000.0,9.5,0.761605978012085,0.0918151438236236,-0.0243785511702299
0006,2000000.0,10.0,0.7463064193725586,0.1051917746663093,-0.0315394401550293
0008,500000.0,-10.0,-0.7618201375007629,0.0750035792589187,-0.0088312905281782
0008,500000.0,-9.5,-0.7995104789733887,0.0642002969980239,-0.015684550628066
0008,500000.0,-9.0,-0.8868064880371094,0.0368909016251564,-0.0143592907115817
0008,500000.0,-8.5,-0.8738839626312256,0.0274889729917049,-0.0107656978070735
0008,500000.0,-8.0,-0.8374966382980347,0.0227844025939703,-0.0084104062989354
0008,500000.0,-7.5,-0.7928222417831421,0.0201167333871126,-0.0067347595468163
0008,500000.0,-7.0,-0.7502131462097168,0.016823224723339,-0.004994161427021
0008,500000.0,-6.5,-0.702234148979187,0.015297302044928,-0.0036772689782083
0008,500000.0,-6.0,-0.6563267111778259,0.013384323567152,-0.0019095274619758
0008,500000.0,-5.5,-0.6076446771621704,0.01238071359694,-0.0006604915251955
0008,500000.0,-5.0,-0.560343325138092,0.0111554339528083,0.0009499047882854
0008,500000.0,-4.5,-0.5117982029914856,0.0103169754147529,0.0023784313816577
0008,500000.0,-4.0,-0.4640082418918609,0.0093490676954388,0.0037930561229586
0008,500000.0,-3.5,-0.4166702628135681,0.0083393063396215,0.0050047892145812
0008,500000.0,-3.0,-0.368695855140686,0.0074344747699797,0.0060689435340464
0008,500000.0,-2.5,-0.3196411430835724,0.0067162001505494,0.0070557608269155
0008,500000.0,-2.0,-0.2696946859359741,0.0061466796323657,0.008029737509787
0008,500000.0,-1.5,-0.2166771590709686,0.0056939153000712,0.0085760466754436
0008,500000.0,-1.0,-0.1431517302989959,0.0053489045239984,0.0051649049855768
0008,500000.0,-0.5,-0.0705659836530685,0.0052266013808548,0.0023037935607135
0008,500000.0,0.0,2.0422397106756307e-10,0.0052051045931875,-4.1887257551387336e-11
0008,500000.0,0.5,0.0705643147230148,0.0052265236154198,-0.0023034277837723
0008,500000.0,1.0,0.14314766228199,0.0053486977703869,-0.0051640956662595
0008,500000.0,1.5,0.2166758924722671,0.0056935464963316,-0.0085761165246367
0008,500000.0,2.0,0.2696517705917358,0.0061459736898541,-0.0080208210274577
0008,500000.0,2.5,0.3195950090885162,0.0067154606804251,-0.0070459595881402
0008,500000.0,3.0,0.368648499250412,0.0074337641708552,-0.0060587245970964
0008,500000.0,3.5,0.4166238605976105,0.0083386059850454,-0.0049946480430662
0008,500000.0,4.0,0.4639644920825958,0.0093484343960881,-0.0037834607064723
0008,500000.0,4.5,0.5117565393447876,0.0103166000917553,-0.0023694199044257
0008,500000.0,5.0,0.5603089332580566,0.0111550064757466,-0.0009423450683243
0008,500000.0,5.5,0.6076223254203796,0.0123803773894906,0.0006654021563008
0008,500000.0,6.0,0.6563170552253723,0.0133840171620249,0.0019117258489131
0008,500000.0,6.5,0.7022393345832825,0.0152971716597676,0.0036762326490134
0008,500000.0,7.0,0.7502316236495972,0.0168231986463069,0.0049902037717401
0008,500000.0,7.5,0.7928573489189148,0.0201169792562723,0.0067273993045091
0008,500000.0,8.0,0.8375468254089355,0.0227857809513807,0.0083996905013918
0008,500000.0,8.5,0.8739527463912964,0.0274930242449045,0.0107503309845924
0008,500000.0,9.0,0.8868910670280457,0.0369055829942226,0.0143345277756452
0008,500000.0,9.5,0.8649389147758484,0.0501928515732288,0.0167125631123781
0008,500000.0,10.0,0.8222112655639648,0.0615031383931636,0.014551299624145
0008,1000000.0,-10.0,-1.0326508283615112,0.0236695036292076,-0.0102706858888268
0008,1000000.0,-9.5,-0.9937277436256408,0.0209411531686782,-0.00853833835572
0008,1000000.0,-9.0,-0.9473278522491456,0.019576733931899,-0.0074811857193708
0008,1000000.0,-8.5,-0.90907484292984,0.0162332225590944,-0.005458477884531
0008,1000000.0,-8.0,-0.8610902428627014,0.0149477375671267,-0.0044370903633534
0008,1000000.0,-7.5,-0.812408983707428,0.0137449223548173,-0.0033766096457839
0008,1000000.0,-7.0,-0.7656224966049194,0.0121613582596182,-0.0019594235345721
0008,1000000.0,-6.5,-0.7154683470726013,0.0113690542057156,-0.0010575623018667
0008,1000000.0,-6.0,-0.6654469966888428,0.0106184110045433,1.7187152479891665e-05
0008,1000000.0,-5.5,-0.6166473031044006,0.009754316881299,0.0013435985893011
0008,1000000.0,-5.0,-0.5674164891242981,0.0090937046334147,0.0026535200886428
0008,1000000.0,-4.5,-0.5180929899215698,0.0085392231121659,0.0039581591263413
0008,1000000.0,-4.0,-0.4691473543643951,0.008003331720829,0.0052767433226108
0008,1000000.0,-3.5,-0.4205540120601654,0.0074115497991442,0.00653358688578
0008,1000000.0,-3.0,-0.3632207810878753,0.0066887768916785,0.0057111526839435
0008,1000000.0,-2.5,-0.2927744388580322,0.0059112925082445,0.0019733631052076
0008,1000000.0,-2.0,-0.2238016277551651,0.0052619581110775,-0.0012472574599087
0008,1000000.0,-1.5,-0.1584464162588119,0.0047126077115535,-0.0034346138127148
0008,1000000.0,-1.0,-0.1001876667141914,0.004278500098735,-0.0037280991673469
0008,1000000.0,-0.5,-0.0493571422994136,0.0039938506670296,-0.0020729289390146
0008,1000000.0,0.0,-3.155493422113409e-09,0.0038906775880604,8.510762650182356e-10
0008,1000000.0,0.5,0.0493571460247039,0.0039938427507877,0.0020729277748614
0008,1000000.0,1.0,0.1001868173480033,0.0042784716933965,0.003728301031515
0008,1000000.0,1.5,0.1584444344043731,0.0047125359997153,0.003435087390244
0008,1000000.0,2.0,0.223801389336586,0.0052618184126913,0.0012472737580537
0008,1000000.0,2.5,0.2927813529968261,0.00591108109802,-0.0019751330837607
0008,1000000.0,3.0,0.3632280826568603,0.0066885091364383,-0.0057131079956889
0008,1000000.0,3.5,0.4204966723918915,0.0074109253473579,-0.0065212943591177
0008,1000000.0,4.0,0.4690914750099182,0.0080028148368,-0.0052646659314632
0008,1000000.0,4.5,0.5180407762527466,0.0085387732833623,-0.0039467681199312
0008,1000000.0,5.0,0.567369818687439,0.0090933097526431,-0.0026432436425238
0008,1000000.0,5.5,0.6166062355041504,0.0097539918497204,-0.0013344989856705
0008,1000000.0,6.0,0.6654227375984192,0.0106176203116774,-1.165966568805743e-05
0008,1000000.0,6.5,0.7154570817947388,0.0113688353449106,0.0010601114481687
0008,1000000.0,7.0,0.7656257152557373,0.0121612278744578,0.0019587657880038
0008,1000000.0,7.5,0.8124299049377441,0.0137448962777853,0.0033720610663294
0008,1000000.0,8.0,0.8611264824867249,0.014947859570384,0.0044291736558079
0008,1000000.0,8.5,0.909126877784729,0.0162335317581892,0.0054470621980726
0008,1000000.0,9.0,0.9472366571426392,0.0196182094514369,0.0074837240390479
0008,1000000.0,9.5,0.9938238859176636,0.0209425780922174,0.0085174748674035
0008,1000000.0,10.0,1.0327720642089844,0.0236723702400922,0.0102440575137734
0008,1000000.0,10.5,1.0649389028549194,0.027216775342822,0.0123266298323869
0008,1000000.0,11.0,1.0882186889648438,0.0315136983990669,0.0146972592920064
0008,1000000.0,11.5,1.0977989435195925,0.0367011614143848,0.0173076000064611
0008,1000000.0,12.0,1.076544165611267,0.0433951094746589,0.0202484000474214
0008,1000000.0,13.0,0.6058329939842224,0.1412729769945144,-0.0213845744729042
0008,1000000.0,13.5,0.5970200896263123,0.1497602760791778,-0.0235732104629278
0008,1000000.0,14.0,0.5914455056190491,0.157310739159584,-0.0258030965924263
0008,1000000.0,14.5,0.5851777195930481,0.1644918024539947,-0.0289774388074874
0008,2000000.0,-10.0,-1.073143482208252,0.015415895730257,-0.0051638470031321
0008,2000000.0,-9.5,-1.0237436294555664,0.0145161496475338,-0.0044524543918669
0008,2000000.0,-9.0,-0.9786936044692992,0.012681477703154,-0.0030709728598594
0008,2000000.0,-8.5,-0.9278678894042968,0.0119336321949958,-0.0024679820053279
0008,2000000.0,-8.0,-0.8766894936561584,0.0112242139875888,-0.0018344718264415
0008,2000000.0,-7.5,-0.8250423073768616,0.0106146996840834,-0.0012058329302817
0008,2000000.0,-7.0,-0.7753247022628784,0.0096379276365041,-0.0001777296274667
0008,2000000.0,-6.5,-0.7240646481513977,0.0091272583231329,0.000640602200292
0008,2000000.0,-6.0,-0.6738778352737427,0.0085631487891078,0.0017475255299359
0008,2000000.0,-5.5,-0.6237584352493286,0.0081271324306726,0.002879493869841
0008,2000000.0,-5.0,-0.574446976184845,0.0076619703322649,0.0042177601717412
0008,2000000.0,-4.5,-0.5205385684967041,0.0072603365406394,0.004515460692346
0008,2000000.0,-4.0,-0.4539464712142944,0.0068358154967427,0.0019823005422949
0008,2000000.0,-3.5,-0.3861653506755829,0.0063424394465982,-0.0008871572790667
0008,2000000.0,-3.0,-0.3230440616607666,0.005783500149846,-0.0027126022614538
0008,2000000.0,-2.5,-0.2631047368049621,0.0052191503345966,-0.0037850341759622
0008,2000000.0,-2.0,-0.2102777957916259,0.0047573572956025,-0.0030883264262229
0008,2000000.0,-1.5,-0.1587261706590652,0.0044114333577454,-0.0020558719988912
0008,2000000.0,-1.0,-0.1063683405518531,0.0041792811825871,-0.0012211640132591
0008,2000000.0,-0.5,-0.0533773303031921,0.0040514604188501,-0.0005574015667662
0008,2000000.0,0.0,4.7861692387130014e-09,0.0040089869871735,-1.0348499834833547e-09
0008,2000000.0,0.5,0.0533776991069316,0.004051455296576,0.0005573143134824
0008,2000000.0,1.0,0.1063697785139083,0.0041792741976678,0.001220823964104
0008,2000000.0,1.5,0.1587291955947876,0.0044114245101809,0.0020551558118313
0008,2000000.0,2.0,0.2102822512388229,0.0047573545016348,0.0030872686766088
0008,2000000.0,2.5,0.263109028339386,0.0052191163413226,0.0037840344011783
0008,2000000.0,3.0,0.3230493366718292,0.0057834414765238,0.002711362671107
0008,2000000.0,3.5,0.386178582906723,0.0063423616811633,0.0008839869406074
0008,2000000.0,4.0,0.453960120677948,0.0068356920965015,-0.0019855983555316
0008,2000000.0,4.5,0.5205543041229248,0.0072601768188178,-0.0045192739926278
